BINOMIAL,ID,Year,Lat,Long,Frequency,Duration,n,tau_p,tau_p_min,tau_p_max,tau_v,tau_v_min,tau_v_max,diffusion,diffusion_min,diffusion_max,HR,HR_min,HR_max,Speed,Speed_min,Speed_max
during,29104,2021,51.29561975,-118.7964933,1559,53.08333333,56,564959.0673,206128.3014,1548446.989,NA,NA,NA,3.106441205,2.187328462,4.184243141,13573105.83,5432781.158,25375529.01,NA,NA,NA
during,30467,2021,54.61526,-121.57107,719,49.23958333,76,7882916.236,377273.0996,164709247.6,46277.15474,15687.91879,136511.1,15.80905877,7.717561207,26.75281089,1173936638,55853840.14,3939032361,NA,NA,NA
during,30616,2021,54.16155,-121.43368,718,61.25138889,96,4020.587744,1602.565416,10087.03023,25.5345983,6.234916017,104.5748986,4062.983511,1857.207255,7117.449014,84631849.71,60754405.17,112405054,NA,NA,NA
during,32611,2021,54.19268,-121.2434,1,61.25138889,121,633.206261,380.0619609,1054.960007,NA,NA,NA,3832.077567,2756.186074,5082.496707,16091208.22,11899314.48,20905880.98,NA,NA,NA
during,37667,2021,50.35964,-117.70224,900,98.37569444,140,15434601.41,816057.0667,291924340.2,18368.49192,11242.85179,30010.31248,7.026436541,5.274082909,9.026281184,1032667752,55874453.28,3390155904,NA,NA,NA
during,37668,2021,50.52668,-117.45009,900.5,95.62569444,105,4088292.328,637907.6699,26201494.27,15694.9491,6391.770924,38538.83851,3.290734999,2.380637319,4.345863826,140519556,23043043.95,362018568.5,NA,NA,NA
during,37669,2021,50.58477,-117.19048,899,98.37430556,181,10722440.13,721990.7783,159241261.6,NA,NA,NA,13.69539907,11.11160051,16.54524621,605936139.9,41429473.85,1906586957,NA,NA,NA
during,37671,2021,50.372095,-117.782965,900,98.375,100,9626994.83,677425.0093,136810758.7,NA,NA,NA,4.87977743,3.866723893,6.008914823,429953700.7,30920179.6,1339853357,NA,NA,NA
during,37673,2021,50.3597,-117.70372,901,97.99930556,115,18402475.54,884281.8605,382967378.4,15350.01066,7654.113166,30783.81807,6.450423368,4.802708924,8.337404618,1119535832,54933158.03,3737208233,NA,NA,NA
during,42137,2021,53.3000706,-120.8740003,720,70.5,141,5068539.673,473332.4116,54274953.06,7968.742026,2602.645218,24398.58073,9.866603057,7.461381638,12.60270027,504208890.5,48805100.41,1478440477,NA,NA,NA
