"ID","period","herd","Year","Lat","Long","Frequency","Duration","n","tau_p","tau_p_min","tau_p_max","tau_v","tau_v_min","tau_v_max","diffusion","diffusion_min","diffusion_max","HR","HR_min","HR_max","Speed","Speed_min","Speed_max","elev_220809","slope_220809","proj_age_220809","heli_ten_220809"
29104,"prior2","cn",2019,51.610359,-118.7777904,781,40.08333333,37,1381082.132,164682.6439,11582203.26,43350.51103,20108.65827,93455.60411,13.91303594,6.981178766,23.19492751,137603747.9,18879883.98,371696778.4,NA,NA,NA,3.08506669475006,2.70145564054144,1.18667971553259,0.995814972114592
29104,"during","cn",2021,51.29561975,-118.7964933,1559,53.08333333,56,564959.0673,206128.3014,1548446.989,NA,NA,NA,3.106441205,2.187328462,4.184243141,13573105.83,5432781.158,25375529.01,NA,NA,NA,3.26916206304446,2.46963897149239,0.822405316858961,0.145452909957722
29104,"after","cn",2022,51.2948431,-118.7966308,781,89.91597222,96,1167941.814,333472.4031,4090557.626,NA,NA,NA,3.963524964,3.139017591,4.88272676,36863757.35,11322116.4,77208951.17,NA,NA,NA,2.98668550898842,2.55566590558207,0.699724156689749,0.253939353813559
29104,"prior1","cn",2020,51.6034941,-118.7979688,1559.5,66.62430556,57,3025263.007,372650.1329,24559809.46,20514.61999,6463.838572,65108.31434,18.51231146,11.78568529,26.73329538,426733877.9,57631533.73,1157325488,NA,NA,NA,3.0196611196297,2.59785859784666,1.03222964581459,0.756668591719224
30276,"prior1","hr",2020,54.641315,-121.872265,720,48.49930556,96,4037010.751,360254.2318,45238762.97,NA,NA,NA,5.844917873,4.411589182,7.476778236,173486655.5,15848515.21,515067077.1,NA,NA,NA,2.02975445936526,1.92710957082761,0.575491994526716,0
30467,"during","hr",2021,54.61526,-121.57107,719,49.23958333,76,7882916.236,377273.0996,164709247.6,46277.15474,15687.91879,136511.1,15.80905877,7.717561207,26.75281089,1173936638,55853840.14,3939032361,NA,NA,NA,2.41574293633702,2.10919961394467,0.634110343514646,0.402304736186123
30467,"prior1","hr",2020,54.588855,-121.97887,720,48,88,791934.2397,188728.2474,3323084.11,NA,NA,NA,0.213595796,0.12556115,0.324635219,1024966.284,292916.2062,2207106.443,NA,NA,NA,2.52080895900726,3.05668430796691,0.690780634897075,0
30613,"prior1","hr",2020,53.73186,-120.70777,720,48.50069444,98,2460047.641,291547.8428,20757603.07,12178.72673,4941.753019,30013.921,18.8449463,12.70605346,26.17457518,459999817,59351404.09,1261854546,NA,NA,NA,2.39185782222298,2.25357351394249,0.510751645447292,0.373962122095798
30616,"during","hr",2021,54.16155,-121.43368,718,61.25138889,96,4020.587744,1602.565416,10087.03023,25.5345983,6.234916017,104.5748986,4062.983511,1857.207255,7117.449014,84631849.71,60754405.17,112405054,NA,NA,NA,2.19610378247624,2.39210704373141,0.237332684433312,1
30616,"prior1","hr",2020,54.11887,-121.50016,720,48.50069444,93,1544130.291,227564.313,10477646.18,NA,NA,NA,5.984792336,4.630774216,7.509817915,74521615.71,11658064.7,194484399.4,NA,NA,NA,2.35353124765794,2.49352001446398,0.0370794661245032,1
32611,"prior2","hr",2019,54.216585,-121.54319,666,0.4625,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4645941.312,95431.5368,17618358.97,NA,NA,NA,2.53671917944084,3.03893225803089,0.306268198454026,1
32611,"during","hr",2021,54.19268,-121.2434,1,61.25138889,121,633.206261,380.0619609,1054.960007,NA,NA,NA,3832.077567,2756.186074,5082.496707,16091208.22,11899314.48,20905880.98,NA,NA,NA,2.58868498354924,2.51268764929708,0.783214172705498,1
32611,"prior1","hr",2020,54.18796,-121.24824,720,48.5,95,359791.8599,136555.8917,947964.8281,23417.50891,12898.92179,42513.60949,10.98263134,7.712179018,14.82211045,43799166.29,19926415.7,76912462.19,NA,NA,NA,2.33802960714921,2.27190054686597,0.467382245970398,1
37667,"prior1","cs",2020,50.35465,-117.70873,900,28,43,1603544.039,187576.7806,13708271.76,NA,NA,NA,6.010450801,3.946322635,8.501872636,81299022.46,10030889.16,225469254.2,NA,NA,NA,3.22773304337766,3.00714279542468,0.664162022689961,0.72380437394857
37667,"during","cs",2021,50.35964,-117.70224,900,98.37569444,140,15434601.41,816057.0667,291924340.2,18368.49192,11242.85179,30010.31248,7.026436541,5.274082909,9.026281184,1032667752,55874453.28,3390155904,NA,NA,NA,2.3280332322247,2.69874685872211,0.376434267950259,0.289241893646151
37668,"after","cs",2022,50.5473,-117.463415,901,33,38,890050.8798,161693.395,4899337.839,26544.74721,8957.173665,78665.84157,4.477109061,2.561177677,6.919304125,43560792.11,9604579.775,102695639.4,NA,NA,NA,3.10924696297612,3.57857145571726,0.881371153486997,0
37668,"during","cs",2021,50.52668,-117.45009,900.5,95.62569444,105,4088292.328,637907.6699,26201494.27,15694.9491,6391.770924,38538.83851,3.290734999,2.380637319,4.345863826,140519556,23043043.95,362018568.5,NA,NA,NA,2.90796036068942,3.26828046093285,0.738735016656716,8.68839924932231e-05
37668,"prior1","cs",2020,50.488,-117.36108,1440,27.99861111,27,366163.8149,72765.28165,1842581.192,NA,NA,NA,2.166816429,1.206246933,3.404075272,6667970.362,1869318.085,14462086.54,NA,NA,NA,3.46730416159803,3.90923179105178,0.819130778540573,0
37669,"after","cs",2022,50.54739,-117.05676,899.5,47.375,85,325964.4818,144624.4245,734681.1837,NA,NA,NA,2.639769707,1.951870686,3.429905742,5692833.796,2742693.101,9701979.868,NA,NA,NA,3.6509614253366,3.44004984790524,0.821027423468519,1
37669,"during","cs",2021,50.58477,-117.19048,899,98.37430556,181,10722440.13,721990.7783,159241261.6,NA,NA,NA,13.69539907,11.11160051,16.54524621,605936139.9,41429473.85,1906586957,NA,NA,NA,3.14123180612126,3.38993507597576,0.32320695765267,0.872875277050172
37669,"prior1","cs",2020,50.47677,-117.11505,899,27.62430556,47,3163354.667,199201.8762,50234530.64,NA,NA,NA,2.177583144,1.521580809,2.949319775,68023091.21,4464428.295,215687717.8,NA,NA,NA,3.22190339068122,3.26357048288548,-0.0392825259459306,0.980203173235695
37670,"prior1","cs",2020,50.476725,-117.114925,899,27.99930556,44,3588267.794,216925.9982,59355106.66,NA,NA,NA,1.751875694,1.193394484,2.415862098,63504319.96,3997059.377,202924222.9,NA,NA,NA,3.27009769447867,3.28284822810784,-0.0344807258698122,0.989058113149494
37671,"prior1","cs",2020,50.354435,-117.705465,900,28,36,955969.2957,140356.7983,6511101.034,25914.97318,9107.02987,73743.67321,6.207093534,3.208163705,10.17914002,55446443.53,10014365.21,138977623.7,NA,NA,NA,3.27872045146324,2.92724880648591,0.662459843982939,0.820075298883727
37671,"after","cs",2022,50.46574,-117.644325,900,33,44,NA,NA,NA,NA,NA,NA,1.055039602,0.639215324,1.573358806,2342819.258,1120028.693,4009190.902,NA,NA,NA,3.37996392312311,3.76234566717173,0.392016782111759,0
37671,"during","cs",2021,50.372095,-117.782965,900,98.375,100,9626994.83,677425.0093,136810758.7,NA,NA,NA,4.87977743,3.866723893,6.008914823,429953700.7,30920179.6,1339853357,NA,NA,NA,2.32303114856367,2.77101869440786,0.387642777890959,0.177270687922036
37673,"during","cs",2021,50.3597,-117.70372,901,97.99930556,115,18402475.54,884281.8605,382967378.4,15350.01066,7654.113166,30783.81807,6.450423368,4.802708924,8.337404618,1119535832,54933158.03,3737208233,NA,NA,NA,2.33732357219296,2.70852096014148,0.355652357521727,0.286296039400959
37673,"prior1","cs",2020,50.35463,-117.705215,900,28,36,2077586.461,189632.1102,22761785.95,19191.68817,4715.247351,78112.74095,5.41806338,2.933110158,8.652866859,122884739.9,12451745.31,356715863,NA,NA,NA,3.13674134185063,3.13893368149502,0.5947219530983,0.550684604836947
41447,"after","cn",2022,52.2211144,-118.5711532,900,89.375,121,2930283.267,590412.587,14543321.42,NA,NA,NA,5.482083928,4.503338683,6.555635542,166575174.2,34317627.47,401275953.9,NA,NA,NA,2.53963058231019,2.83745145942686,1.54387349685751,0.796278395360077
41448,"after","cn",2022,51.8634921,-118.240828,900,89.37569444,132,1818612.749,412313.0884,8021458.51,13555.84634,4012.800374,45793.69839,0.937828199,0.664783902,1.257116875,13429022.49,3304035.374,30520091.01,NA,NA,NA,3.34844466111132,3.81789737063017,1.07455200674968,1
41449,"after","cn",2022,52.22928555,-118.5310364,900,89.37430556,134,4284259.719,597643.637,30712083.59,NA,NA,NA,18.60595633,15.36461143,22.15289952,755663834.8,107290598,2023372150,NA,NA,NA,2.53505403457997,2.73972620733231,1.24867402399768,0.829396960994642
41450,"after","cn",2022,51.2959149,-118.7868818,899,21,41,148295.141,56042.67232,392405.4283,NA,NA,NA,4.454044657,2.810426885,6.470007023,4779118.541,2198322.122,8344944.198,NA,NA,NA,3.54747476633814,1.73468074573639,1.15088025386751,0.249169435215947
41566,"after","cn",2022,51.5787845,-118.7266798,900,89.37569444,137,1667342.678,379576.2945,7324039.056,14891.40582,8044.687921,27565.26662,6.847007195,5.181709249,8.740788325,108858372.2,26873219.5,247115694.4,NA,NA,NA,2.84799598138065,2.44298559771744,1.10804545109543,0.999730995987357
41567,"after","cn",2022,51.3012776,-118.7832296,899,21.00069444,41,551327.1949,94478.5704,3217255.242,NA,NA,NA,7.552156242,4.982594356,10.64754026,31573423.33,6142478.684,77411827.13,NA,NA,NA,3.27119079064792,2.38051988621017,0.792285926341708,0.249594312649718
41570,"after","cn",2022,51.4764536,-118.9505382,900,20.625,35,932618.6296,125456.6268,6932894.102,NA,NA,NA,40.39830921,23.43239459,61.90909048,61289917.23,9209555.969,161690745.6,NA,NA,NA,3.01088050354963,2.15375287976657,0.386089895498902,0.425553940793534
42137,"during","nc",2021,53.3000706,-120.8740003,720,70.5,141,5068539.673,473332.4116,54274953.06,7968.742026,2602.645218,24398.58073,9.866603057,7.461381638,12.60270027,504208890.5,48805100.41,1478440477,NA,NA,NA,2.75108316328876,3.03450707654233,1.56924921124469,0.463355818976464
42137,"after","nc",2022,53.44871645,-121.1858388,720,33.49930556,68,1873704.083,213015.8792,16481245.46,14099.35496,5968.616184,33306.18087,48.72353046,31.58146321,69.52259162,896019279,109023261.4,2493332116,NA,NA,NA,2.61022892892542,2.36191759931648,0.46036650224204,0.157560423227998
42139,"during","nc",2021,53.4341883,-121.2269616,720,70.5,142,5794097.046,503651.909,66656275.85,NA,NA,NA,17.06696514,13.99704973,20.4367135,846435334.1,74591706.15,2532133672,NA,NA,NA,2.52662291450188,2.25832549621608,0.400411554336563,0.0806290808711236
42141,"during","hr",2021,54.7751625,-121.784556,720,70.5,153,1334687.455,340304.6331,5234693.948,10291.742,5482.019336,19321.33887,9.721506476,7.523176969,12.19731954,120642231.9,32552979.88,265365250.8,NA,NA,NA,2.24990250403862,2.09253017545378,0.600722545082393,0
42142,"after","hr",2022,54.01387425,-121.4740533,720,33.5,68,2528629.886,251032.2697,25470705.86,NA,NA,NA,8.923445864,6.737140371,11.41226578,222080935.9,22615879.26,643952205.6,NA,NA,NA,2.04116954678703,2.21549138620118,0.541700356145419,0.996644977074925
42142,"during","hr",2021,53.9675978,-121.4318041,720,70,135,578463.6823,225430.7651,1484359.207,7187.289172,1724.257,29959.0639,22.83667402,17.39997565,29.00118274,108517021,46843627.76,195651228.4,NA,NA,NA,2.3740417666497,2.83318698386003,0.773727409627937,1
42155,"after","hr",2022,54.8833626,-122.0230323,720,33.5,69,6526383.839,345657.4271,123225143.4,NA,NA,NA,27.77397802,19.44059581,37.57048185,1369348560,73708365.62,4499492971,NA,NA,NA,2.20421504412163,2.13677509210731,0.489377518255083,0
